Scrambling solved cube with: ['B', 'R', 'D inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'D', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'B']
*** SOLVED ***
Moves to solve: ['D', 'U']
Scrambling solved cube with: ['L', 'U inverse', 'D inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'B', 'D', 'U']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'F inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'F inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'F inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'F inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'F inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'F inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'F', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'F', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'F', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'F', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'F', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'F', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'F', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'F']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'F', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'F', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'F inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'F', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'B inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'B inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'B inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'B inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'B inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'B inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'B inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'B inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'B inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'B inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'B inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B', 'B inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'B', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'B', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'B', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'B', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'B', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'B', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'B', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'B', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'B', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'B', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'B']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'U inverse', 'B inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'B', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'L inverse']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'L']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'L', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'L inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'R inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'R inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'R inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'R inverse']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'R', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'R', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'R']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'R', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'R', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'R', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'R', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'R', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'R', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'R', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'R', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'R inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'R', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'U inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'U inverse']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'D inverse', 'U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'D inverse']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'F inverse', 'U inverse', 'D inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'F inverse']
*** SOLVED ***
Moves to solve: ['U inverse', 'D inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'U', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'U', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'U', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'U', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'U']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'U', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'D inverse', 'U', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'U', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'U', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'U', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'U inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'U', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'D inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'D inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'D inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'D inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'D inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'D inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'D inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'D inverse']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'D inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'D inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'D inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'D inverse', 'D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'L inverse']
*** SOLVED ***
Moves to solve: ['L', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'R']
*** SOLVED ***
Moves to solve: ['R inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'R inverse']
*** SOLVED ***
Moves to solve: ['R', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'U']
*** SOLVED ***
Moves to solve: ['U inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'U inverse']
*** SOLVED ***
Moves to solve: ['U', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'D']
*** SOLVED ***
Moves to solve: ['D inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'D inverse']
*** SOLVED ***
Moves to solve: ['D', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'F']
*** SOLVED ***
Moves to solve: ['F inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'F inverse']
*** SOLVED ***
Moves to solve: ['F', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'B']
*** SOLVED ***
Moves to solve: ['B inverse', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'D inverse', 'B inverse']
*** SOLVED ***
Moves to solve: ['B', 'L inverse']
Scrambling solved cube with: ['L', 'D', 'F', 'L']
*** SOLVED ***
Moves to solve: ['L inverse', 'F inverse', 'D inverse', 'L inverse']
